question_id,test_id,certification,exam_version,objectives_version,question_version,batch_id,domain_id,domain_name,objective_id,objective_text,topic,concept_key,difficulty,question_type,question_style,question_instruction,question_text,answer_a,answer_b,answer_c,answer_d,correct_answers,correct_explanation,answer_a_explanation,answer_b_explanation,answer_c_explanation,answer_d_explanation,study_topics,source_ids,reference_notes,date_added,date_modified,date_reviewed,review_status,reviewer,quality_flags,author_notes
SEC701-0000001,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-SAMPLE-001,1.0,General Security Concepts,1.4,Explain the importance of using appropriate cryptographic solutions.,Digital signatures,digital-signature-origin-integrity,medium,single_choice,scenario,,A software vendor publishes an update and wants customers to verify that the update came from the vendor and was not altered after release. The vendor does not need to keep the update confidential. Which cryptographic solution best meets these requirements?,Encrypt the update with the vendor's public key,Sign the update hash with the vendor's private key,Publish an unsigned hash beside the update on the same server,Encrypt the update with a shared symmetric key,B,A digital signature is created with the vendor's private key and verified with the corresponding public key. Signing the update's hash provides origin authentication and integrity without making the update confidential.,Public-key encryption with the vendor's public key would allow only the vendor's private key to decrypt the update. It does not prove that the vendor created the update because anyone can use the public key to encrypt data.,"Signing the hash with the vendor's private key lets customers verify the signature with the public key, confirming the signer and detecting changes to the update.",A hash can detect changes only when the expected hash is obtained through a trusted or authenticated channel. An attacker who can replace both files on the same server could replace the hash too.,"Symmetric encryption can protect confidentiality, but public verification would require sharing the secret key. Anyone with that key could also create data that appears authentic.",Digital signatures|Hashing|Integrity|Origin authentication|Public key cryptography,SRC-COMPTIA-SY0701-V6|SRC-NIST-FIPS186-5,CompTIA objective 1.4; FIPS 186-5 digital signature purpose.,2026-07-19,2026-07-19,2026-07-19,approved,project-owner,,
SEC701-0000002,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-SAMPLE-001,2.0,"Threats, Vulnerabilities, and Mitigations",2.4,"Given a scenario, analyze indicators of malicious activity.",Password attacks,online-brute-force-single-account,easy,single_choice,comparison,,"Authentication logs show 8,000 failed sign-in attempts against one user account in 20 minutes. Each attempt uses a different candidate password. Which attack is most likely occurring?",Credential stuffing,Password spraying,Online brute-force attack,Pass-the-hash attack,C,An online brute-force attack repeatedly tries many candidate passwords against an account until one works. The single targeted account and changing password guesses distinguish it from password spraying.,"Credential stuffing uses previously stolen username-and-password pairs, usually across other services. The scenario describes generated password guesses against one account rather than reuse of known credential pairs.","Password spraying normally tries one or a few common passwords against many accounts to reduce lockouts. Here, many passwords are being tried against one account.",Trying thousands of different candidate passwords against a single account is characteristic of an online brute-force attack.,Pass-the-hash uses a captured password hash to authenticate without knowing the plaintext password. It is not a sequence of password guesses in a sign-in form.,Brute-force attacks|Password spraying|Credential stuffing|Authentication logs,SRC-COMPTIA-SY0701-V6|SRC-CISA-BRUTE-FORCE,CompTIA objective 2.4; CISA descriptions of brute-force and password-spraying behavior.,2026-07-19,2026-07-19,2026-07-19,approved,project-owner,,
SEC701-0000003,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-SAMPLE-001,2.0,"Threats, Vulnerabilities, and Mitigations",2.5,Explain the purpose of mitigation techniques used to secure the enterprise.,Network isolation and segmentation,quarantine-segment-remediation-access,medium,single_choice,scenario,,A workstation is suspected of compromise. Analysts must prevent it from reaching production systems but still allow it to access an internal remediation server for approved tools and patches. Which mitigation best meets the requirement?,Place the workstation in a quarantine network segment with an access control list that permits only remediation services,Disable every network interface and keep the workstation completely disconnected,Reset the user's password and return the workstation to its normal production segment,Enable full-disk encryption on the workstation and reboot it,A,"A quarantine segment restricts the suspected system's network reach while an access control list permits only the narrowly required remediation traffic. This applies isolation, segmentation, and least privilege together.",A quarantine segment with a restrictive access control list blocks production access while preserving the specific network path needed for remediation.,"Complete disconnection can contain the host, but it also prevents the required access to the remediation server.","A password reset may address compromised credentials, but it does not isolate a potentially infected workstation from production systems.",Full-disk encryption protects data at rest. It does not restrict the workstation's network communications or stop lateral movement.,Network segmentation|Quarantine networks|Access control lists|Isolation|Least privilege,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-207,"CompTIA objective 2.5; segmentation, isolation, access control, and least-privilege principles.",2026-07-19,2026-07-19,2026-07-19,approved,project-owner,,
SEC701-0000004,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-SAMPLE-001,3.0,Security Architecture,3.3,Compare and contrast concepts and strategies to protect data.,Tokenization,tokenization-reversible-surrogate,medium,single_choice,scenario,,"An application must store substitute values for customer account identifiers so transactions can be matched later. The application database should not retain the original identifiers, but a separately protected service must be able to recover them when authorized. Which data-protection technique is most appropriate?",Hashing,Data masking,Encryption,Tokenization,D,Tokenization replaces a sensitive value with a non-sensitive surrogate while a separately protected mapping or token service retains the relationship needed for authorized recovery.,"A properly designed cryptographic hash is intended to be one-way, so it is not appropriate when authorized recovery of the original identifier is required.","Data masking changes how data is displayed or presented, often for testing or limited viewing. It does not necessarily replace stored identifiers with mapped surrogate values.","Encryption converts the original value to ciphertext that can be decrypted with a key. It can protect the identifier, but the requirement specifically describes substitution with a separately maintained mapping, which is tokenization.",Tokenization substitutes a token for the original identifier and uses a protected mapping service or vault for authorized recovery.,Tokenization|Data masking|Hashing|Encryption|Data protection,SRC-COMPTIA-SY0701-V6|SRC-NIST-NCCOE-TOKENIZATION,CompTIA objective 3.3; NIST NCCoE data-protection guidance.,2026-07-19,2026-07-19,2026-07-19,approved,project-owner,,
SEC701-0000005,SEC-701,CompTIA Security+,SY0-701,6.0,2,SEC701-SAMPLE-001,3.0,Security Architecture,3.4,Explain the importance of resilience and recovery in security architecture.,Recovery objectives,rpo-rto-business-requirements,hard,single_choice,calculation,,"A business continuity plan states that, after an outage, no more than 15 minutes of transaction data may be lost and the customer portal must resume service within 2 hours. Which pairing correctly identifies these targets?",RTO of 15 minutes and RPO of 2 hours,RPO of 15 minutes and RTO of 2 hours,MTTR of 15 minutes and MTBF of 2 hours,RPO of 15 minutes and MTTR of 2 hours,B,"The recovery point objective measures how much recent data loss is acceptable, so it is 15 minutes. The recovery time objective measures how quickly service must be restored, so it is 2 hours.","This reverses the two objectives. The data-loss allowance is the recovery point objective, while the service-restoration deadline is the recovery time objective.","Fifteen minutes is the acceptable data-loss window, making it the RPO. Two hours is the required restoration time, making it the RTO.",Mean time to repair and mean time between failures are operational reliability metrics. They do not directly express the stated data-loss and restoration targets.,"Fifteen minutes is correctly identified as the RPO, but the two-hour service-restoration requirement is the RTO. MTTR is an average measure of repair or restoration time across incidents, not the stated maximum recovery deadline.",Recovery point objective|Recovery time objective|Business continuity|Disaster recovery,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-34R1|SRC-NIST-GLOSSARY-RPO-RTO,CompTIA objective 3.4; NIST contingency-planning guidance and glossary definitions.,2026-07-19,2026-07-19,2026-07-19,approved,project-owner,,Version 2: replaced answer D because the original wording was semantically identical to answer A.
SEC701-0000006,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-SAMPLE-001,4.0,Security Operations,4.3,Explain various activities associated with vulnerability management.,Remediation validation,vulnerability-remediation-rescan,easy,single_choice,direct,,"A team applies a patch to remediate a vulnerability found by an authenticated scanner. Before closing the vulnerability ticket, which action most directly validates that the remediation succeeded?",Rescan the affected systems using the appropriate detection method,Mark the vulnerability as accepted in the risk register,Review the change ticket for required approvals,Wait for the next scheduled penetration test,A,Validation requires checking that the vulnerability is no longer detectable. A targeted rescan with the appropriate method provides direct technical evidence that the patch corrected the finding.,A rescan directly tests whether the original vulnerability is still present and is a standard validation step after remediation.,Risk acceptance is a treatment decision used when an organization chooses not to remediate or accepts residual risk. It does not verify that a patch worked.,"Reviewing approvals validates the change-management process, but it does not confirm that the technical vulnerability was removed.","A later penetration test might discover the issue, but waiting does not provide timely validation before closing the current ticket.",Vulnerability remediation|Rescanning|Validation|Vulnerability management,SRC-COMPTIA-SY0701-V6,"CompTIA objective 4.3 explicitly includes validation of remediation by rescanning, audit, or verification.",2026-07-19,2026-07-19,2026-07-19,approved,project-owner,,
SEC701-0000007,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-SAMPLE-001,4.0,Security Operations,4.6,"Given a scenario, implement and maintain identity and access management.",Authentication factors,password-hardware-key-factor-pair,easy,single_choice,direct,,A user authenticates with a password and a FIDO2 hardware security key. Which combination of authentication factors is being used?,Two knowledge factors,A knowledge factor and an inherence factor,A knowledge factor and a possession factor,A possession factor and an inherence factor,C,"A password is something the user knows, while a hardware security key is something the user has. Using factors from two different categories is multi-factor authentication.","The password is a knowledge factor, but the hardware security key is not another knowledge factor.","An inherence factor is something the user is, such as a biometric characteristic. No biometric is described.","The password provides the knowledge factor, and possession of the hardware key provides the possession factor.","The hardware key is a possession factor, but the password is knowledge rather than inherence.",Authentication factors|Multi-factor authentication|FIDO2|Hardware security keys,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-63B-4,CompTIA objective 4.6; NIST authentication-factor definitions.,2026-07-19,2026-07-19,2026-07-19,approved,project-owner,,
SEC701-0000008,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-SAMPLE-001,4.0,Security Operations,4.8,Explain appropriate incident response activities.,Incident containment,ransomware-network-isolation-preserve-host,hard,single_choice,scenario,,Endpoint detection confirms that ransomware is actively spreading from a workstation. The response team wants to limit further spread while keeping the system powered for forensic acquisition. Which immediate action most directly supports containment?,Restore the user's files from the latest known-good backup,Delete the suspected ransomware executable from the workstation,Begin the post-incident lessons-learned meeting,Network-isolate the workstation through the EDR platform or switch,D,Network isolation blocks the compromised workstation from communicating with other systems while leaving it powered and available for controlled evidence acquisition. That directly supports containment.,Restoring from backup is a recovery activity. It should occur after the threat is contained and the environment is ready for safe restoration.,Deleting the executable is an eradication action and may alter evidence. It does not necessarily stop other malicious processes or network sessions already active.,Lessons learned is a post-incident improvement activity. It does not limit an attack that is still spreading.,Network isolation immediately restricts lateral communication while preserving the powered system for forensic work.,Incident response phases|Containment|Ransomware response|Evidence preservation|Endpoint isolation,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-61R3,CompTIA objective 4.8; NIST incident-response guidance for limiting incident impact and supporting response and recovery.,2026-07-19,2026-07-19,2026-07-19,approved,project-owner,,
SEC701-0000009,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-SAMPLE-001,5.0,Security Program Management and Oversight,5.2,Explain elements of the risk management process.,Quantitative risk analysis,ale-from-sle-and-aro,medium,single_choice,calculation,,"A risk analysis estimates that one successful event would cause a loss of $50,000 and that the event is expected once every five years. What is the annual loss expectancy?","$2,500","$10,000","$50,000","$250,000",B,"An event expected once every five years has an annualized rate of occurrence of 0.2. ALE equals SLE multiplied by ARO, so $50,000 × 0.2 = $10,000.","$2,500 would result from using an ARO of 0.05, which represents once every 20 years rather than once every five years.","The ARO is 1 ÷ 5, or 0.2. Multiplying the $50,000 single loss expectancy by 0.2 gives a $10,000 annual loss expectancy.","$50,000 is the single loss expectancy, the estimated loss from one event, not the annualized amount.","$250,000 multiplies the loss by five years instead of annualizing the expected frequency.",Annual loss expectancy|Single loss expectancy|Annualized rate of occurrence|Quantitative risk analysis,SRC-COMPTIA-SY0701-V6|SRC-NIST-RISK-ALE,CompTIA objective 5.2; quantitative risk relationship ALE = SLE × ARO.,2026-07-19,2026-07-19,2026-07-19,approved,project-owner,,
SEC701-0000010,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-SAMPLE-001,5.0,Security Program Management and Oversight,5.3,Explain the processes associated with third-party risk assessment and management.,Service-level agreements,sla-measurable-provider-targets,medium,single_choice,scenario,,"An organization is negotiating a cloud-service contract. It needs a document that states 99.9% availability, a 30-minute response target for severity-one incidents, and remedies when those targets are missed. Which agreement should contain these commitments?",Service-level agreement,Non-disclosure agreement,Memorandum of understanding,Statement of work,A,"A service-level agreement defines measurable service commitments such as availability, response times, reporting expectations, and remedies or consequences when performance targets are not met.","An SLA is designed to document measurable service levels, responsibilities, response targets, and remedies for missed performance commitments.",An NDA restricts disclosure of specified confidential information. It does not normally define uptime or incident-response performance targets.,"An MOU records a general understanding or intent between parties, often without the detailed measurable service commitments described here.","A statement of work defines project scope, tasks, deliverables, and timelines. It may reference an SLA, but it is not the primary agreement for ongoing service-performance targets.",Service-level agreements|Third-party risk|Vendor contracts|Availability commitments|Incident response targets,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-47R1,"CompTIA objective 5.3; NIST agreement guidance for service levels, performance, and response times.",2026-07-19,2026-07-19,2026-07-19,approved,project-owner,,
SEC701-0000011,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,1.0,General Security Concepts,1.1,Compare and contrast various types of security controls.,Security control classification,physical-preventive-turnstile,easy,single_choice,direct,,An organization installs badge-controlled turnstiles at the entrance to stop unauthorized people from entering office areas. How should this control be classified?,Physical preventive control,Technical detective control,Operational corrective control,Managerial directive control,A,"The turnstiles are physical devices that block unauthorized entry before it occurs, making them physical preventive controls.",Turnstiles physically restrict entry and are intended to prevent unauthorized access before it happens.,"A technical detective control uses technology to identify or report events, such as an intrusion-detection alert. The turnstiles physically block entry.",An operational corrective control consists of people-driven activities that restore or repair conditions after an event. The turnstiles act before entry occurs.,A managerial directive control establishes expectations through governance or policy. The turnstiles are an implemented physical barrier.,Security control categories|Preventive controls|Physical access controls,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-53R5,CompTIA objective 1.1; NIST physical access and control-catalog concepts.,2026-07-19,2026-07-19,2026-07-19,approved,project-owner,,
SEC701-0000012,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,1.0,General Security Concepts,1.2,Summarize fundamental security concepts.,Zero Trust components,zero-trust-policy-enforcement-point,medium,single_choice,scenario,,"In a Zero Trust architecture, a component sits in the data path and opens, monitors, or terminates a connection after receiving an access decision from the control plane. Which component performs this function?",Policy engine,Policy administrator,Policy enforcement point,Identity provider,C,"The policy enforcement point is positioned in the data path and enforces access decisions by enabling, monitoring, and terminating connections.",The policy engine evaluates inputs and makes the access decision. It does not directly handle the subject-to-resource traffic path.,"The policy administrator communicates and carries out the policy engine's decision, including directing the enforcement point. It is not the data-path component described.",The policy enforcement point controls the actual connection between the subject and resource and enforces the control-plane decision.,An identity provider supplies identity and authentication information. It does not directly open or terminate the protected connection.,Zero Trust architecture|Policy enforcement point|Policy engine|Policy administrator,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-207,CompTIA objective 1.2; NIST SP 800-207 logical components.,2026-07-19,2026-07-19,2026-07-19,approved,project-owner,,
SEC701-0000013,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,1.0,General Security Concepts,1.3,Explain the importance of change management processes and the impact to security.,Change rollback planning,change-management-backout-plan,easy,single_choice,scenario,,"Before a firewall-rule change, an administrator documents the exact steps required to restore the previous rule set if validation fails. Which change-management artifact is being prepared?",Impact analysis,Backout plan,Maintenance window,Asset inventory,B,A backout plan defines how to reverse a change and restore the prior known-working configuration when implementation or validation fails.,"Impact analysis identifies systems, dependencies, risks, and business effects that the change could influence. It does not provide the reversal procedure.",The documented steps for returning to the previous firewall configuration are the backout plan.,A maintenance window identifies when the work may occur. It does not explain how to undo the change.,An asset inventory records systems and ownership information. It is useful for planning but is not a rollback procedure.,Change management|Backout plans|Configuration control|Firewall changes,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-128,CompTIA objective 1.3; NIST security-focused configuration and change control.,2026-07-19,2026-07-19,2026-07-19,approved,project-owner,,
SEC701-0000014,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,2.0,"Threats, Vulnerabilities, and Mitigations",2.1,Compare and contrast common threat actors and motivations.,Insider threats,insider-threat-revenge-motivation,medium,single_choice,scenario,,"After being denied a promotion, a database administrator uses still-authorized access to copy confidential records and publicly releases them solely to embarrass the employer. Which classification best describes the actor and motivation?",An organized-crime actor motivated by financial gain,A hacktivist motivated by political beliefs,A nation-state actor motivated by espionage,An insider threat motivated by revenge,D,"The administrator is an insider because the person has authorized organizational access, and the stated purpose of harming the employer after a workplace grievance indicates revenge.",Organized-crime actors commonly pursue profit. The scenario identifies an employee acting to harm the employer without a financial objective.,Hacktivists are generally driven by ideological or political objectives. No such belief or cause is stated.,Nation-state espionage seeks strategic or intelligence value on behalf of a government. The scenario describes an internal grievance.,"The actor is an employee using legitimate access, and the retaliatory disclosure is motivated by revenge.",Threat actors|Insider threats|Threat motivations|Authorized access misuse,SRC-COMPTIA-SY0701-V6|SRC-CISA-INSIDER-THREAT,CompTIA objective 2.1; CISA insider-threat definition and mitigation guidance.,2026-07-19,2026-07-19,2026-07-19,approved,project-owner,,
SEC701-0000015,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,2.0,"Threats, Vulnerabilities, and Mitigations",2.2,Explain common threat vectors and attack surfaces.,Supply-chain attacks,compromised-vendor-update-supply-chain,medium,single_choice,scenario,,Attackers compromise a software vendor's build system and insert malware into an update that the vendor distributes to customers. Which threat vector does this scenario demonstrate?,Watering-hole attack,Supply-chain compromise,Removable-media attack,On-path attack,B,"Compromising the vendor's development or distribution process uses a trusted supplier relationship to reach downstream customers, which is a supply-chain attack.",A watering-hole attack compromises a site that intended victims are likely to visit. The scenario compromises a vendor's product pipeline instead.,The attackers abuse the software supplier and its trusted update process to distribute malicious code to customers.,A removable-media attack relies on devices such as USB drives. No removable device is involved.,"An on-path attack intercepts or alters communications between parties. Here, the malicious code is inserted at the vendor before distribution.",Supply-chain risk|Software updates|Trusted vendors|Build-system compromise,SRC-COMPTIA-SY0701-V6|SRC-NIST-SP800-161R1,CompTIA objective 2.2; NIST cybersecurity supply-chain risk guidance.,2026-07-19,2026-07-19,2026-07-19,approved,project-owner,,
SEC701-0000016,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,2.0,"Threats, Vulnerabilities, and Mitigations",2.2,Explain common threat vectors and attack surfaces.,Message-based social engineering,smishing-payroll-text-message,easy,single_choice,scenario,,An employee receives a text message that claims to be from payroll and links to a lookalike sign-in page. Which term most specifically describes this attack?,Smishing,Vishing,Business email compromise,Watering-hole attack,A,Smishing is phishing delivered through SMS or another text-messaging service. The fake payroll message attempts to steal credentials through a malicious link.,"The attack is delivered by text message, making smishing the most specific term.",Vishing uses a voice call or voice message to conduct social engineering rather than a text message.,"Business email compromise uses email and impersonation to induce fraudulent actions, commonly payments or data disclosure. The channel here is SMS.",A watering-hole attack compromises a website frequently visited by a target group. The attacker directly sent a malicious message instead.,Smishing|Phishing channels|Credential harvesting|Brand impersonation,SRC-COMPTIA-SY0701-V6|SRC-CISA-PHISHING,CompTIA objective 2.2; CISA phishing-channel and recognition guidance.,2026-07-19,2026-07-19,2026-07-19,approved,project-owner,,
SEC701-0000017,SEC-701,CompTIA Security+,SY0-701,6.0,1,SEC701-BATCH-002,2.0,"Threats, Vulnerabilities, and Mitigations",2.3,Explain various types of vulnerabilities.,Race conditions,toctou-file-symlink-race,hard,single_choice,scenario,,"A privileged service checks that a temporary file is owned by an approved user. Before the service opens the file by pathname, an attacker replaces the path with a symbolic link to a protected file. Which vulnerability is being exploited?",Buffer overflow,SQL injection,Time-of-check time-of-use race condition,Virtual machine escape,C,The resource changes between the ownership check and the later use of the pathname. This is a time-of-check time-of-use race condition.,A buffer overflow writes beyond an allocated memory boundary. The scenario involves a change in file state between two operations.,SQL injection changes a database query through untrusted input. No SQL command or database query is involved.,"The attacker exploits the interval between checking the file and using it, invalidating the result of the earlier check.",A virtual machine escape crosses a virtualization boundary from a guest into the host or another guest. The scenario concerns filesystem timing.,Race conditions|TOCTOU|File-system security|Symbolic links,SRC-COMPTIA-SY0701-V6|SRC-MITRE-CWE367,CompTIA objective 2.3; MITRE CWE-367 definition and examples.,2026-07-19,2026-07-19,2026-07-19,approved,project-owner,,
